datetime,Latitude,Longitude,Altitude,(m),Speed(km/h),Total distance(km)
2024-04-02 14:41:45,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:46,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:47,53.35562,-6.280348,79.0,0.5,1.205,
2024-04-02 14:41:48,53.355609,-6.280345,79.0,4.8,1.206,
2024-04-02 14:41:49,53.355599,-6.280344,80.0,3.8,1.208,
2024-04-02 14:41:50,53.35559,-6.280347,80.0,3.6,1.209,
2024-04-02 14:41:51,53.355588,-6.28035,80.0,1.4,1.209,
2024-04-02 14:41:52,53.355587,-6.280342,81.0,2.1,1.209,
2024-04-02 14:41:53,53.35559,-6.280344,81.0,1.4,1.21,
2024-04-02 14:41:54,53.355594,-6.280345,81.0,1.4,1.21,
2024-04-02 14:41:55,53.355596,-6.280346,81.0,1.2,1.211,
2024-04-02 14:41:56,53.3556,-6.280348,82.0,1.4,1.211,
2024-04-02 14:41:57,53.3556,-6.280348,82.0,0.0,1.211,
2024-04-02 14:41:58,53.355611,-6.280366,82.0,6.2,1.213,
2024-04-02 14:41:59,53.355617,-6.280357,82.0,3.0,1.214,
2024-04-02 14:42:00,53.355619,-6.28036,82.0,1.3,1.214,
2024-04-02 14:42:01,53.355619,-6.280362,82.0,0.6,1.214,
2024-04-02 14:42:02,53.355622,-6.280359,82.0,1.4,1.214,
2024-04-02 14:42:03,53.355627,-6.280352,82.0,2.6,1.215,
2024-04-02 14:42:04,53.355627,-6.280352,82.0,0.0,1.215,
2024-04-02 14:42:05,53.355627,-6.280352,82.0,0.0,1.215,
2024-04-02 14:42:06,53.355624,-6.280377,82.0,5.9,1.217,
2024-04-02 14:42:07,53.35561,-6.280381,82.0,5.6,1.218,
2024-04-02 14:42:08,53.355607,-6.280359,82.0,5.5,1.22,
2024-04-02 14:42:09,53.355594,-6.280321,82.0,10.4,1.223,
2024-04-02 14:42:10,53.355585,-6.280304,83.0,5.5,1.224,
2024-04-02 14:42:11,53.355573,-6.280278,83.0,7.9,1.226,
2024-04-02 14:42:12,53.355573,-6.280276,83.0,0.6,1.227,
2024-04-02 14:42:13,53.35557,-6.280278,83.0,1.2,1.227,
